casenum,cohort,female,minority,ab39m,ab39t,ab39u,ab39w,ab39x,ga33a,ga33h,ga33i,ga33k,ga33l,math_g7,math_g10,math_g12,op_know,op_know2,siok,siok2
3207,2,0,0,0,1,1,0,1,1,1,1,1,1,52.08,65.12,64.51,1,1,1,1
4295,2,1,0,0,0,0,0,0,0,1,1,0,0,73.33,74.52,9999,1,1,1,1
6817,2,1,0,0,0,0,0,0,1,0,0,0,0,50.39,57.35,9999,1,1,1,1
4225,2,1,0,0,0,0,0,0,1,0,0,0,0,52.03,68.25,9999,0.67,0,0.25,0
4124,2,0,0,0,0,0,0,0,1,0,1,0,0,50.78,78.34,87.43,1,1,1,1
3061,2,0,0,1,0,0,0,0,1,9999,1,1,1,67.21,82.67,99.3,1,1,1,1
6798,2,0,0,0,0,1,0,0,1,1,1,1,1,58.54,85.55,88.62,0.67,0,0.78,0
1250,2,1,0,0,0,9999,1,0,1,0,0,0,0,37.11,49.15,9999,1,1,0.56,0
1550,2,1,0,1,0,0,0,0,1,0,1,0,0,48.74,53.72,9999,0.67,0,0.78,0
3584,2,1,0,0,0,1,1,0,9999,9999,9999,9999,9999,46.07,9999,9999,0.33,0,0.67,0
3122,2,1,0,0,0,0,0,0,0,0,0,0,0,42.1,55.14,9999,0.33,0,0.11,0
2424,2,1,0,1,0,0,0,1,9999,9999,9999,9999,9999,54.19,9999,9999,9999,9999,9999,9999
2066,2,1,0,0,0,0,0,1,0,0,0,0,0,62.62,71.76,9999,0.33,0,0.78,0
2338,2,1,0,1,0,1,1,1,0,1,1,0,1,65.19,86.93,91.4,0.67,0,0.89,0
3656,2,1,0,0,1,1,1,1,0,0,0,0,0,57.9,63.21,9999,1,1,1,1
4674,2,0,0,1,1,1,1,0,0,0,0,0,0,34.89,9999,9999,9999,9999,9999,9999
1095,2,0,0,0,0,0,0,0,0,9999,0,0,0,49.6,73.7,9999,1,1,1,1
5230,2,1,0,0,0,0,0,0,1,1,1,1,1,55.51,70.12,9999,1,1,1,1
4182,2,1,0,1,0,0,1,1,1,1,1,0,0,59.76,67.87,9999,0.67,0,0.89,0
2471,2,1,0,1,9999,9999,1,0,0,0,0,0,0,48.43,66.77,9999,9999,9999,9999,9999
3244,2,1,0,1,9999,9999,9999,9999,0,0,1,1,0,58.26,9999,9999,1,1,1,1
6546,2,1,0,1,1,1,1,1,1,1,1,1,1,58.55,64.02,9999,1,1,0.89,0
2144,2,0,0,9999,9999,9999,9999,9999,1,1,1,1,1,77.91,9999,9999,1,1,1,1
1804,2,1,0,0,0,0,0,0,1,1,1,0,0,64.5,75.31,9999,1,1,1,1
6000,2,0,0,1,1,1,1,1,0,1,1,1,0,53.6,82,9999,0.67,0,0.89,0
3455,2,1,0,1,1,1,0,1,9999,9999,9999,9999,9999,46.34,9999,9999,0,0,0.38,0
